日新增用户量,日期,日活跃用户量,设备活跃
556,2020-07-01,5548,5659
392,2020-07-02,1786,1810
333,2020-07-03,2143,2182
337,2020-07-04,1560,1576
225,2020-07-05,1194,1207
334,2020-07-06,2217,2233
428,2020-07-07,1947,1964
437,2020-07-08,2583,2603
392,2020-07-09,1796,1813
430,2020-07-10,1864,1874
295,2020-07-11,1238,1244
295,2020-07-12,2301,2325
398,2020-07-13,3205,3243
429,2020-07-14,2920,2951
422,2020-07-15,3110,3139
613,2020-07-16,3587,3621
495,2020-07-17,3254,3282
351,2020-07-18,2615,2631
298,2020-07-19,2511,2525
452,2020-07-20,4439,4460
404,2020-07-21,3214,3248
374,2020-07-22,2895,2922
405,2020-07-23,3915,3942
421,2020-07-24,3560,3581
375,2020-07-25,3549,3594
266,2020-07-26,2771,2804
322,2020-07-27,3812,3843
290,2020-07-28,1682,1697
